TYPE_NAME=QR_ParamsDialog;KEYS=Report,Form,Prefix;;
Report;Form;Prefix;Caption
"name=""Перечень просроченных контрольных поручений""";EmployeeList;pauthor;Автор
"name=""Реестр обращений граждан, поступивших за период""";DateInterval;regdate;Дата регистрации
"name=""Перечень документов с неисполненными контрольными резолюциями""";DateInterval;controlDate;Срок исполнения
"name=""Журнал договоров""";DateInterval;concludeDate;Дата заключения
"name=""Анализ исполнительской дисциплины""";DateInterval;DATE;Интервал
"name=""Анализ исполнительской дисциплины""";EmployeeList;EMPL_LIST;Список сотрудников
"name=""Журнал учета ОРД""";DateInterval;regDate;Укажите отчетный период
"name=""Перечень заданий, стоящих на контроле""";Employee;EMPL;Укажите исполнителя
"name=""Журнал учета внутренней переписки""";DateInterval;Date;Укажите отчетный период
"name=""Журнал учета внутренней переписки""";RegPlaceListOptional;REG_PLACE_LIST;Место регистрации
"name=""Журнал учета исходящей корреспонденции""";DateInterval;Date;Укажите отчетный период
"name=""Журнал учета исходящей корреспонденции""";RegPlaceListOptional;REG_PLACE_LIST;Место регистрации
"name=""Журнал входящих документов""";DateInterval;DATE;Укажите отчетный период
"name=""Отчёт по результатам рассмотрения ОГ""";DateInterval;DATE;Дата регистрации
"name=""Отчёт по исполнению Входящих документов""";EmployeeList;EMPL_LIST_CONTR;Список контролеров параметр
"name=""Отчёт по исполнению Входящих документов""";DateInterval;DATE_REG;Период регистрации документов
"name=""Отчёт по исполнению Входящих документов""";DateInterval;DATE_EXEC;Период сроков исполнения
"name=""Отчёт по исполнению Входящих документов""";OrganizationListOptional;ORG_LIST_CORR;Корреспондент
"name=""Отчёт по исполнению Входящих документов""";ParamsListboxSingle;RES_EXEC_STATE;Статус исполнения резолюций
"name=""Отчёт по исполнению Входящих документов""";ClassifierMultiOptional;TEMATIC;Тематика
"name=""Отчет по исполнению внутренних и распорядительных документов""";EmployeeList;EMPL_LIST_CONTR;Список контролеров
"name=""Отчет по исполнению внутренних и распорядительных документов""";DateInterval;DATE_REG;Период регистрации документов
"name=""Отчет по исполнению внутренних и распорядительных документов""";DateInterval;DATE_EXEC;Период сроков исполнения
"name=""Отчет по исполнению внутренних и распорядительных документов""";EmployeeListOptional;EMPL_LIST_SIGN;Подписант
"name=""Отчет по исполнению внутренних и распорядительных документов""";ClassifierMultiOptional;TEMATIC;Тематика
"name=""Отчет по исполнению внутренних и распорядительных документов""";ParamsListboxSingle;RES_EXEC_STATE;Статус исполнения резолюций
"name=""Отчёт по исполнению Входящих документов (Новый)""";EmployeeList;EMPL_LIST_CONTR;Список контролеров параметр
"name=""Отчёт по исполнению Входящих документов (Новый)""";DateInterval;DATE_REG;Период регистрации документов
"name=""Отчёт по исполнению Входящих документов (Новый)""";DateInterval;DATE_EXEC;Период сроков исполнения
"name=""Отчёт по исполнению Входящих документов (Новый)""";OrganizationListOptional;ORG_LIST_CORR;Корреспондент
"name=""Отчёт по исполнению Входящих документов (Новый)""";ParamsListboxSingle;RES_EXEC_STATE;Статус исполнения резолюций
"name=""Отчёт по исполнению Входящих документов (Новый)""";ParamsListboxSingle;RES_EXEC_DATE_STATE;Статус исполнения по дате
"name=""Отчёт по исполнению Входящих документов (Новый)""";ClassifierMultiOptional;TEMATIC;Тематика
"name=""Отчет по исполнению внутренних и распорядительных документов (Новый)""";EmployeeList;EMPL_LIST_CONTR;Список контролеров
"name=""Отчет по исполнению внутренних и распорядительных документов (Новый)""";DateInterval;DATE_REG;Период регистрации документов
"name=""Отчет по исполнению внутренних и распорядительных документов (Новый)""";DateInterval;DATE_EXEC;Период сроков исполнения
"name=""Отчет по исполнению внутренних и распорядительных документов (Новый)""";EmployeeListOptional;EMPL_LIST_SIGN;Подписант
"name=""Отчет по исполнению внутренних и распорядительных документов (Новый)""";ClassifierMultiOptional;TEMATIC;Тематика
"name=""Отчет по исполнению внутренних и распорядительных документов (Новый)""";ParamsListboxSingle;RES_EXEC_STATE;Статус исполнения резолюций
"name=""Отчет по исполнению внутренних и распорядительных документов (Новый)""";ParamsListboxSingle;RES_EXEC_DATE_STATE;Статус исполнения по дате
"name=""Количество правовых актов(динамика)""";DateInterval;DATE_REG;Период регистрации документов
"name=""Количество правовых актов(объём)""";DateInterval;DATE_REG;Период регистрации документов
"name=""Справка по количеству зарегистрированных документов""";DateInterval;regDate;Период регистрации документов
"name=""Отчёт по согласованию документов""";ParamsListboxMulti;MODULE_TYPE;Модуль
"name=""Отчёт по согласованию документов""";DateInterval;DATE_START;Период
"name=""Отчёт по согласованию документов""";CalcHourComboBox;HOUR;Расчётный час
"name=""Перечень документов с неисполненными контрольными резолюциями""";DateInterval;controlDate;Срок исполнения